id,wave,gender,age,system_known,digital_confidence,sus_01,sus_02,sus_03,sus_04,sus_05,sus_06,sus_07,sus_08,sus_09,sus_10,sus_score,finished
P001,wave1,f,19,na,4.0,3.0,5.0,2.0,4.0,2.0,4.0,1.0,5.0,3.0,4.0,77.5,1.0
P002,wave1,f,21,na,2.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,5.0,65.0,1.0
P003,wave1,f,21,na,1.0,3.0,4.0,1.0,4.0,2.0,3.0,3.0,4.0,2.0,5.0,72.5,1.0
P004,wave1,f,19,na,1.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,5.0,70.0,1.0
P005,wave1,f,20,na,2.0,2.0,4.0,1.0,5.0,3.0,4.0,2.0,4.0,2.0,5.0,80.0,1.0
P006,wave1,f,20,na,1.0,1.0,5.0,1.0,4.0,1.0,3.0,1.0,5.0,1.0,5.0,92.5,1.0
P007,wave1,f,22,na,2.0,3.0,5.0,1.0,3.0,2.0,4.0,1.0,5.0,2.0,4.0,80.0,1.0
P008,wave1,f,23,na,2.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,,4.0,,1.0
P009,wave1,m,20,na,5.0,3.0,5.0,1.0,5.0,2.0,5.0,2.0,5.0,2.0,5.0,87.5,1.0
P010,wave1,f,18,na,2.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,57.5,1.0
P011,wave1,f,Sag ich nicht,na,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,45.0,1.0
P012,wave1,f,19,na,3.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,62.5,1.0
P013,wave1,f,18,na,2.0,3.0,5.0,1.0,3.0,1.0,4.0,1.0,2.0,2.0,4.0,75.0,1.0
P014,wave1,f,21,na,3.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,57.5,1.0
P015,wave1,m,21,na,2.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,62.5,1.0
P016,wave1,f,20,na,2.0,3.0,4.0,2.0,5.0,1.0,5.0,1.0,3.0,2.0,5.0,82.5,1.0
P017,wave1,f,22,na,2.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,5.0,67.5,1.0
P018,wave1,f,20,na,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,60.0,1.0
P019,wave1,f,23,na,2.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0,5.0,67.5,1.0
P020,wave1,f,20,na,2.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,2.0,5.0,67.5,1.0
P021,wave1,f,19,na,2.0,2.0,4.0,2.0,5.0,2.0,4.0,1.0,5.0,2.0,5.0,85.0,1.0
